Name;Date;Timeband;Yield
Government Bonds;12.7.2016;6 MONTHS;-0,654177
Government Bonds;12.7.2016;9 MONTHS;-0,654195
Government Bonds;12.7.2016;20 YEARS;0,382245
Government Bonds;12.7.2016;25 YEARS;0,487287
Government Bonds;12.7.2016;30 YEARS;0,557471
Euribor rates;13.7.2016;1 WEEK;-0,379
Euribor rates;13.7.2016;2 WEEKS;-0,373
Euribor rates;13.7.2016;1 MONTH;-0,371
Euribor rates;13.7.2016;2 MONTHS;-0,334
Euribor rates;13.7.2016;3 MONTHS;-0,295
Euribor rates;13.7.2016;6 MONTHS;-0,191
Euribor rates;13.7.2016;9 MONTHS;-0,129
Euribor rates;13.7.2016;12 MONTHS;-0,061
Government Bonds;13.7.2016;10 YEARS;-0,124496
Government Bonds;13.7.2016;12 MONTHS;-0,666224
Government Bonds;13.7.2016;2 YEARS;-0,688704
Government Bonds;13.7.2016;5 YEARS;-0,570031
Government Bonds;13.7.2016;7 YEARS;-0,388773
Government Bonds;13.7.2016;12 YEARS;0,016563
Government Bonds;13.7.2016;15 YEARS;0,17607
Government Bonds;13.7.2016;3 MONTHS;-0,665154
Government Bonds;13.7.2016;6 MONTHS;-0,660411
Government Bonds;13.7.2016;9 MONTHS;-0,661586
Government Bonds;13.7.2016;20 YEARS;0,346827
Government Bonds;13.7.2016;25 YEARS;0,451339
Government Bonds;13.7.2016;30 YEARS;0,521195
Euribor rates;14.7.2016;1 WEEK;-0,379
Euribor rates;14.7.2016;2 WEEKS;-0,372
Euribor rates;14.7.2016;1 MONTH;-0,371
Euribor rates;14.7.2016;2 MONTHS;-0,333
Euribor rates;14.7.2016;3 MONTHS;-0,295
Euribor rates;14.7.2016;6 MONTHS;-0,19
Euribor rates;14.7.2016;9 MONTHS;-0,127
Euribor rates;14.7.2016;12 MONTHS;-0,061
Government Bonds;14.7.2016;10 YEARS;-0,065372
Government Bonds;14.7.2016;12 MONTHS;-0,65675
Government Bonds;14.7.2016;2 YEARS;-0,673248
Government Bonds;14.7.2016;5 YEARS;-0,533729
Government Bonds;14.7.2016;7 YEARS;-0,341253
Government Bonds;14.7.2016;12 YEARS;0,080866
Government Bonds;14.7.2016;15 YEARS;0,245772
Government Bonds;14.7.2016;3 MONTHS;-0,658617
Government Bonds;14.7.2016;6 MONTHS;-0,653096
Government Bonds;14.7.2016;9 MONTHS;-0,653283
Government Bonds;14.7.2016;20 YEARS;0,422015
Government Bonds;14.7.2016;25 YEARS;0,529825
Government Bonds;14.7.2016;30 YEARS;0,60188
Euribor rates;15.7.2016;1 WEEK;-0,379
Euribor rates;15.7.2016;2 WEEKS;-0,371
Euribor rates;15.7.2016;1 MONTH;-0,371
Euribor rates;15.7.2016;2 MONTHS;-0,33
Euribor rates;15.7.2016;3 MONTHS;-0,293
Euribor rates;15.7.2016;6 MONTHS;-0,187
Euribor rates;15.7.2016;9 MONTHS;-0,123
Euribor rates;15.7.2016;12 MONTHS;-0,057
Government Bonds;15.7.2016;10 YEARS;-0,056795
Government Bonds;15.7.2016;12 MONTHS;-0,655173
Government Bonds;15.7.2016;2 YEARS;-0,669834
Government Bonds;15.7.2016;5 YEARS;-0,528818
Government Bonds;15.7.2016;7 YEARS;-0,334984
Government Bonds;15.7.2016;12 YEARS;0,090785
Government Bonds;15.7.2016;15 YEARS;0,25727
Government Bonds;15.7.2016;3 MONTHS;-0,660634
Government Bonds;15.7.2016;6 MONTHS;-0,653583
Government Bonds;15.7.2016;9 MONTHS;-0,652597
Government Bonds;15.7.2016;20 YEARS;0,435248
Government Bonds;15.7.2016;25 YEARS;0,544129
Government Bonds;15.7.2016;30 YEARS;0,616901
Euribor rates;18.7.2016;1 WEEK;-0,377
Euribor rates;18.7.2016;2 WEEKS;-0,372
Euribor rates;18.7.2016;1 MONTH;-0,371
Euribor rates;18.7.2016;2 MONTHS;-0,331
Euribor rates;18.7.2016;3 MONTHS;-0,295
Euribor rates;18.7.2016;6 MONTHS;-0,191
Euribor rates;18.7.2016;9 MONTHS;-0,124
Euribor rates;18.7.2016;12 MONTHS;-0,061
Government Bonds;18.7.2016;10 YEARS;-0,075358
Government Bonds;18.7.2016;12 MONTHS;-0,653492
Government Bonds;18.7.2016;2 YEARS;-0,672788
Government Bonds;18.7.2016;5 YEARS;-0,543539
Government Bonds;18.7.2016;7 YEARS;-0,353683
Government Bonds;18.7.2016;12 YEARS;0,074326
Government Bonds;18.7.2016;15 YEARS;0,244533
Government Bonds;18.7.2016;3 MONTHS;-0,653512
Government Bonds;18.7.2016;6 MONTHS;-0,648675
Government Bonds;18.7.2016;9 MONTHS;-0,649451
Government Bonds;18.7.2016;20 YEARS;0,427625
Government Bonds;18.7.2016;25 YEARS;0,539932
Government Bonds;18.7.2016;30 YEARS;0,615031
Euribor rates;19.7.2016;1 WEEK;-0,375
Euribor rates;19.7.2016;2 WEEKS;-0,372
Euribor rates;19.7.2016;1 MONTH;-0,371
Euribor rates;19.7.2016;2 MONTHS;-0,333
Euribor rates;19.7.2016;3 MONTHS;-0,295
Euribor rates;19.7.2016;6 MONTHS;-0,189
Euribor rates;19.7.2016;9 MONTHS;-0,123
Euribor rates;19.7.2016;12 MONTHS;-0,059
Government Bonds;19.7.2016;10 YEARS;-0,066591
Government Bonds;19.7.2016;12 MONTHS;-0,648511
Government Bonds;19.7.2016;2 YEARS;-0,662878
Government Bonds;19.7.2016;5 YEARS;-0,530276
Government Bonds;19.7.2016;7 YEARS;-0,342539
Government Bonds;19.7.2016;12 YEARS;0,082518
Government Bonds;19.7.2016;15 YEARS;0,252689
Government Bonds;19.7.2016;3 MONTHS;-0,652013
Government Bonds;19.7.2016;6 MONTHS;-0,646228
Government Bonds;19.7.2016;9 MONTHS;-0,645797
Government Bonds;19.7.2016;20 YEARS;0,436329
Government Bonds;19.7.2016;25 YEARS;0,549139
Government Bonds;19.7.2016;30 YEARS;0,624598
Euribor rates;20.7.2016;1 WEEK;-0,376
Euribor rates;20.7.2016;2 WEEKS;-0,371
Euribor rates;20.7.2016;1 MONTH;-0,371
Euribor rates;20.7.2016;2 MONTHS;-0,333
Euribor rates;20.7.2016;3 MONTHS;-0,297
Euribor rates;20.7.2016;6 MONTHS;-0,189
Euribor rates;20.7.2016;9 MONTHS;-0,122
Euribor rates;20.7.2016;12 MONTHS;-0,056
Government Bonds;20.7.2016;10 YEARS;-0,059788
Government Bonds;20.7.2016;12 MONTHS;-0,64038
Government Bonds;20.7.2016;2 YEARS;-0,650363
Government Bonds;20.7.2016;5 YEARS;-0,519446
Government Bonds;20.7.2016;7 YEARS;-0,334252
Government Bonds;20.7.2016;12 YEARS;0,089369
Government Bonds;20.7.2016;15 YEARS;0,26016
Government Bonds;20.7.2016;3 MONTHS;-0,651388
Government Bonds;20.7.2016;6 MONTHS;-0,642583
Government Bonds;20.7.2016;9 MONTHS;-0,639672
Government Bonds;20.7.2016;20 YEARS;0,444948
Government Bonds;20.7.2016;25 YEARS;0,558591
Government Bonds;20.7.2016;30 YEARS;0,634624
Euribor rates;21.7.2016;1 WEEK;-0,376
Euribor rates;21.7.2016;2 WEEKS;-0,372
Euribor rates;21.7.2016;1 MONTH;-0,37
Euribor rates;21.7.2016;2 MONTHS;-0,332
Euribor rates;21.7.2016;3 MONTHS;-0,297
Euribor rates;21.7.2016;6 MONTHS;-0,188
Euribor rates;21.7.2016;9 MONTHS;-0,121
Euribor rates;21.7.2016;12 MONTHS;-0,054
Government Bonds;21.7.2016;10 YEARS;-0,035896
Government Bonds;21.7.2016;12 MONTHS;-0,636035
Government Bonds;21.7.2016;2 YEARS;-0,642191
Government Bonds;21.7.2016;5 YEARS;-0,49848
Government Bonds;21.7.2016;7 YEARS;-0,310377
Government Bonds;21.7.2016;12 YEARS;0,112373
Government Bonds;21.7.2016;15 YEARS;0,281769
Government Bonds;21.7.2016;3 MONTHS;-0,645591
Government Bonds;21.7.2016;6 MONTHS;-0,637981
Government Bonds;21.7.2016;9 MONTHS;-0,635489
Government Bonds;21.7.2016;20 YEARS;0,464822
Government Bonds;21.7.2016;25 YEARS;0,577355
Government Bonds;21.7.2016;30 YEARS;0,652643
Euribor rates;22.7.2016;1 WEEK;-0,377
Euribor rates;22.7.2016;2 WEEKS;-0,371
Euribor rates;22.7.2016;1 MONTH;-0,371
Euribor rates;22.7.2016;2 MONTHS;-0,333
Euribor rates;22.7.2016;3 MONTHS;-0,297
Euribor rates;22.7.2016;6 MONTHS;-0,189
Euribor rates;22.7.2016;9 MONTHS;-0,121
Euribor rates;22.7.2016;12 MONTHS;-0,05
Government Bonds;22.7.2016;10 YEARS;-0,052533
Government Bonds;22.7.2016;12 MONTHS;-0,631379
Government Bonds;22.7.2016;2 YEARS;-0,642194
Government Bonds;22.7.2016;5 YEARS;-0,506558
Government Bonds;22.7.2016;7 YEARS;-0,321735
Government Bonds;22.7.2016;12 YEARS;0,092181
Government Bonds;22.7.2016;15 YEARS;0,256864
Government Bonds;22.7.2016;3 MONTHS;-0,637987
Government Bonds;22.7.2016;6 MONTHS;-0,631157
Government Bonds;22.7.2016;9 MONTHS;-0,629684
Government Bonds;22.7.2016;20 YEARS;0,434185
Government Bonds;22.7.2016;25 YEARS;0,543008
Government Bonds;22.7.2016;30 YEARS;0,615787
Euribor rates;25.7.2016;1 WEEK;-0,377
Euribor rates;25.7.2016;2 WEEKS;-0,371
Euribor rates;25.7.2016;1 MONTH;-0,371
Euribor rates;25.7.2016;2 MONTHS;-0,333
Euribor rates;25.7.2016;3 MONTHS;-0,297
Euribor rates;25.7.2016;6 MONTHS;-0,188
Euribor rates;25.7.2016;9 MONTHS;-0,12
Euribor rates;25.7.2016;12 MONTHS;-0,049
Government Bonds;25.7.2016;10 YEARS;-0,087806
Government Bonds;25.7.2016;12 MONTHS;-0,631629
Government Bonds;25.7.2016;2 YEARS;-0,638664
Government Bonds;25.7.2016;5 YEARS;-0,513928
Government Bonds;25.7.2016;7 YEARS;-0,341948
Government Bonds;25.7.2016;12 YEARS;0,05022
Government Bonds;25.7.2016;15 YEARS;0,208264
Government Bonds;25.7.2016;3 MONTHS;-0,643355
Government Bonds;25.7.2016;6 MONTHS;-0,634751
Government Bonds;25.7.2016;9 MONTHS;-0,631533
Government Bonds;25.7.2016;20 YEARS;0,379277
Government Bonds;25.7.2016;25 YEARS;0,484454
Government Bonds;25.7.2016;30 YEARS;0,554824
Euribor rates;26.7.2016;1 WEEK;-0,376
Euribor rates;26.7.2016;2 WEEKS;-0,372
Euribor rates;26.7.2016;1 MONTH;-0,371
Euribor rates;26.7.2016;2 MONTHS;-0,333
Euribor rates;26.7.2016;3 MONTHS;-0,298
Euribor rates;26.7.2016;6 MONTHS;-0,187
Euribor rates;26.7.2016;9 MONTHS;-0,121
Euribor rates;26.7.2016;12 MONTHS;-0,048
Government Bonds;26.7.2016;10 YEARS;-0,084006
Government Bonds;26.7.2016;12 MONTHS;-0,625886
Government Bonds;26.7.2016;2 YEARS;-0,637274
Government Bonds;26.7.2016;5 YEARS;-0,5123
Government Bonds;26.7.2016;7 YEARS;-0,337221
Government Bonds;26.7.2016;12 YEARS;0,050834
Government Bonds;26.7.2016;15 YEARS;0,2032
Government Bonds;26.7.2016;3 MONTHS;-0,6367
Government Bonds;26.7.2016;6 MONTHS;-0,627707
Government Bonds;26.7.2016;9 MONTHS;-0,624905
Government Bonds;26.7.2016;20 YEARS;0,366252
Government Bonds;26.7.2016;25 YEARS;0,466035
Government Bonds;26.7.2016;30 YEARS;0,53273
Euribor rates;27.7.2016;1 WEEK;-0,376
Euribor rates;27.7.2016;2 WEEKS;-0,371
Euribor rates;27.7.2016;1 MONTH;-0,371
Euribor rates;27.7.2016;2 MONTHS;-0,332
Euribor rates;27.7.2016;3 MONTHS;-0,298
Euribor rates;27.7.2016;6 MONTHS;-0,187
Euribor rates;27.7.2016;9 MONTHS;-0,12
Euribor rates;27.7.2016;12 MONTHS;-0,049
Government Bonds;27.7.2016;10 YEARS;-0,107934
Government Bonds;27.7.2016;12 MONTHS;-0,643529
Government Bonds;27.7.2016;2 YEARS;-0,649852
Government Bonds;27.7.2016;5 YEARS;-0,528589
Government Bonds;27.7.2016;7 YEARS;-0,357954
Government Bonds;27.7.2016;12 YEARS;0,026401
Government Bonds;27.7.2016;15 YEARS;0,17898
Government Bonds;27.7.2016;3 MONTHS;-0,662801
Government Bonds;27.7.2016;6 MONTHS;-0,650465
Government Bonds;27.7.2016;9 MONTHS;-0,644855
Government Bonds;27.7.2016;20 YEARS;0,342902
Government Bonds;27.7.2016;25 YEARS;0,443381
Government Bonds;27.7.2016;30 YEARS;0,510561
Euribor rates;28.7.2016;1 WEEK;-0,377
Euribor rates;28.7.2016;2 WEEKS;-0,371
Euribor rates;28.7.2016;1 MONTH;-0,371
Euribor rates;28.7.2016;2 MONTHS;-0,331
Euribor rates;28.7.2016;3 MONTHS;-0,296
Euribor rates;28.7.2016;6 MONTHS;-0,186
Euribor rates;28.7.2016;9 MONTHS;-0,119
Euribor rates;28.7.2016;12 MONTHS;-0,049
Government Bonds;28.7.2016;10 YEARS;-0,121802
Government Bonds;28.7.2016;12 MONTHS;-0,644523
Government Bonds;28.7.2016;2 YEARS;-0,646781
Government Bonds;28.7.2016;5 YEARS;-0,524368
Government Bonds;28.7.2016;7 YEARS;-0,360802
Government Bonds;28.7.2016;12 YEARS;0,006865
Government Bonds;28.7.2016;15 YEARS;0,153336
Government Bonds;28.7.2016;3 MONTHS;-0,663693
Government Bonds;28.7.2016;6 MONTHS;-0,652095
Government Bonds;28.7.2016;9 MONTHS;-0,646428
Government Bonds;28.7.2016;20 YEARS;0,311042
Government Bonds;28.7.2016;25 YEARS;0,407814
Government Bonds;28.7.2016;30 YEARS;0,472529
Euribor rates;29.7.2016;1 WEEK;-0,377
Euribor rates;29.7.2016;2 WEEKS;-0,372
Euribor rates;29.7.2016;1 MONTH;-0,371
Euribor rates;29.7.2016;2 MONTHS;-0,331
Euribor rates;29.7.2016;3 MONTHS;-0,297
Euribor rates;29.7.2016;6 MONTHS;-0,186
Euribor rates;29.7.2016;9 MONTHS;-0,119
Euribor rates;29.7.2016;12 MONTHS;-0,049
Government Bonds;29.7.2016;10 YEARS;-0,151797
Government Bonds;29.7.2016;12 MONTHS;-0,638916
Government Bonds;29.7.2016;2 YEARS;-0,653282
Government Bonds;29.7.2016;5 YEARS;-0,547644
Government Bonds;29.7.2016;7 YEARS;-0,388126
Government Bonds;29.7.2016;12 YEARS;-0,024018
Government Bonds;29.7.2016;15 YEARS;0,12164
Government Bonds;29.7.2016;3 MONTHS;-0,645031
Government Bonds;29.7.2016;6 MONTHS;-0,638246
Government Bonds;29.7.2016;9 MONTHS;-0,636914
Government Bonds;29.7.2016;20 YEARS;0,278578
Government Bonds;29.7.2016;25 YEARS;0,374896
Government Bonds;29.7.2016;30 YEARS;0,43931
Euribor rates;1.8.2016;1 WEEK;-0,375
Euribor rates;1.8.2016;2 WEEKS;-0,372
Euribor rates;1.8.2016;1 MONTH;-0,371
Euribor rates;1.8.2016;2 MONTHS;-0,331
Euribor rates;1.8.2016;3 MONTHS;-0,297
Euribor rates;1.8.2016;6 MONTHS;-0,186
Euribor rates;1.8.2016;9 MONTHS;-0,119
Euribor rates;1.8.2016;12 MONTHS;-0,048
Government Bonds;1.8.2016;10 YEARS;-0,154219
Government Bonds;1.8.2016;12 MONTHS;-0,635314
Government Bonds;1.8.2016;2 YEARS;-0,650093
Government Bonds;1.8.2016;5 YEARS;-0,548652
Government Bonds;1.8.2016;7 YEARS;-0,390346
Government Bonds;1.8.2016;12 YEARS;-0,026198
Government Bonds;1.8.2016;15 YEARS;0,119895
Government Bonds;1.8.2016;3 MONTHS;-0,643429
Government Bonds;1.8.2016;6 MONTHS;-0,635622
Government Bonds;1.8.2016;9 MONTHS;-0,633653
Government Bonds;1.8.2016;20 YEARS;0,2774
Government Bonds;1.8.2016;25 YEARS;0,374086
Government Bonds;1.8.2016;30 YEARS;0,438747
Euribor rates;2.8.2016;1 WEEK;-0,375
Euribor rates;2.8.2016;2 WEEKS;-0,373
Euribor rates;2.8.2016;1 MONTH;-0,371
Euribor rates;2.8.2016;2 MONTHS;-0,329
Euribor rates;2.8.2016;3 MONTHS;-0,298
Euribor rates;2.8.2016;6 MONTHS;-0,184
Euribor rates;2.8.2016;9 MONTHS;-0,12
Euribor rates;2.8.2016;12 MONTHS;-0,048
Government Bonds;2.8.2016;10 YEARS;-0,079924
Government Bonds;2.8.2016;12 MONTHS;-0,634353
Government Bonds;2.8.2016;2 YEARS;-0,636587
Government Bonds;2.8.2016;5 YEARS;-0,503157
Government Bonds;2.8.2016;7 YEARS;-0,329298
Government Bonds;2.8.2016;12 YEARS;0,052491
Government Bonds;2.8.2016;15 YEARS;0,201953
Government Bonds;2.8.2016;3 MONTHS;-0,655486
Government Bonds;2.8.2016;6 MONTHS;-0,642679
Government Bonds;2.8.2016;9 MONTHS;-0,636444
Government Bonds;2.8.2016;20 YEARS;0,361789
Government Bonds;2.8.2016;25 YEARS;0,459582
Government Bonds;2.8.2016;30 YEARS;0,524943
Euribor rates;3.8.2016;1 WEEK;-0,375
Euribor rates;3.8.2016;2 WEEKS;-0,373
Euribor rates;3.8.2016;1 MONTH;-0,371
Euribor rates;3.8.2016;2 MONTHS;-0,333
Euribor rates;3.8.2016;3 MONTHS;-0,299
Euribor rates;3.8.2016;6 MONTHS;-0,183
Euribor rates;3.8.2016;9 MONTHS;-0,119
Euribor rates;3.8.2016;12 MONTHS;-0,047
Government Bonds;3.8.2016;10 YEARS;-0,093508
Government Bonds;3.8.2016;12 MONTHS;-0,636598
Government Bonds;3.8.2016;2 YEARS;-0,634245
Government Bonds;3.8.2016;5 YEARS;-0,507091
Government Bonds;3.8.2016;7 YEARS;-0,33872
Government Bonds;3.8.2016;12 YEARS;0,037945
Government Bonds;3.8.2016;15 YEARS;0,187096
Government Bonds;3.8.2016;3 MONTHS;-0,666919
Government Bonds;3.8.2016;6 MONTHS;-0,65035
Government Bonds;3.8.2016;9 MONTHS;-0,64108
Government Bonds;3.8.2016;20 YEARS;0,347214
Government Bonds;3.8.2016;25 YEARS;0,445329
Government Bonds;3.8.2016;30 YEARS;0,510925
Euribor rates;4.8.2016;1 WEEK;-0,377
Euribor rates;4.8.2016;2 WEEKS;-0,373
Euribor rates;4.8.2016;1 MONTH;-0,37
Euribor rates;4.8.2016;2 MONTHS;-0,333
Euribor rates;4.8.2016;3 MONTHS;-0,298
Euribor rates;4.8.2016;6 MONTHS;-0,183
Euribor rates;4.8.2016;9 MONTHS;-0,116
Euribor rates;4.8.2016;12 MONTHS;-0,045
Government Bonds;4.8.2016;10 YEARS;-0,136261
Government Bonds;4.8.2016;12 MONTHS;-0,638646
Government Bonds;4.8.2016;2 YEARS;-0,649664
Government Bonds;4.8.2016;5 YEARS;-0,546576
Government Bonds;4.8.2016;7 YEARS;-0,38241
Government Bonds;4.8.2016;12 YEARS;-0,002758
Government Bonds;4.8.2016;15 YEARS;0,149452
Government Bonds;4.8.2016;3 MONTHS;-0,65929
Government Bonds;4.8.2016;6 MONTHS;-0,645733
Government Bonds;4.8.2016;9 MONTHS;-0,639727
Government Bonds;4.8.2016;20 YEARS;0,313354
Government Bonds;4.8.2016;25 YEARS;0,413899
Government Bonds;4.8.2016;30 YEARS;0,481132
Euribor rates;5.8.2016;1 WEEK;-0,379
Euribor rates;5.8.2016;2 WEEKS;-0,373
Euribor rates;5.8.2016;1 MONTH;-0,37
Euribor rates;5.8.2016;2 MONTHS;-0,334
Euribor rates;5.8.2016;3 MONTHS;-0,298
Euribor rates;5.8.2016;6 MONTHS;-0,185
Euribor rates;5.8.2016;9 MONTHS;-0,118
Euribor rates;5.8.2016;12 MONTHS;-0,047
Government Bonds;5.8.2016;10 YEARS;-0,113774
Government Bonds;5.8.2016;12 MONTHS;-0,641076
Government Bonds;5.8.2016;2 YEARS;-0,653627
Government Bonds;5.8.2016;5 YEARS;-0,539236
Government Bonds;5.8.2016;7 YEARS;-0,367474
Government Bonds;5.8.2016;12 YEARS;0,022915
Government Bonds;5.8.2016;15 YEARS;0,178321
Government Bonds;5.8.2016;3 MONTHS;-0,654685
Government Bonds;5.8.2016;6 MONTHS;-0,644271
Government Bonds;5.8.2016;9 MONTHS;-0,640563
Government Bonds;5.8.2016;20 YEARS;0,345376
Government Bonds;5.8.2016;25 YEARS;0,447795
Government Bonds;5.8.2016;30 YEARS;0,516274
Euribor rates;8.8.2016;1 WEEK;-0,377
Euribor rates;8.8.2016;2 WEEKS;-0,373
Euribor rates;8.8.2016;1 MONTH;-0,369
Euribor rates;8.8.2016;2 MONTHS;-0,334
Euribor rates;8.8.2016;3 MONTHS;-0,298
Euribor rates;8.8.2016;6 MONTHS;-0,185
Euribor rates;8.8.2016;9 MONTHS;-0,117
Euribor rates;8.8.2016;12 MONTHS;-0,046
Government Bonds;8.8.2016;10 YEARS;-0,08798
Government Bonds;8.8.2016;12 MONTHS;-0,641331
Government Bonds;8.8.2016;2 YEARS;-0,652292
Government Bonds;8.8.2016;5 YEARS;-0,527499
Government Bonds;8.8.2016;7 YEARS;-0,349196
Government Bonds;8.8.2016;12 YEARS;0,052389
Government Bonds;8.8.2016;15 YEARS;0,21187
Government Bonds;8.8.2016;3 MONTHS;-0,653813
Government Bonds;8.8.2016;6 MONTHS;-0,644101
Government Bonds;8.8.2016;9 MONTHS;-0,640747
Government Bonds;8.8.2016;20 YEARS;0,383272
Government Bonds;8.8.2016;25 YEARS;0,488358
Government Bonds;8.8.2016;30 YEARS;0,558622
Euribor rates;9.8.2016;1 WEEK;-0,379
Euribor rates;9.8.2016;2 WEEKS;-0,374
Euribor rates;9.8.2016;1 MONTH;-0,369
Euribor rates;9.8.2016;2 MONTHS;-0,334
Euribor rates;9.8.2016;3 MONTHS;-0,298
Euribor rates;9.8.2016;6 MONTHS;-0,187
Euribor rates;9.8.2016;9 MONTHS;-0,117
Euribor rates;9.8.2016;12 MONTHS;-0,047
Government Bonds;9.8.2016;10 YEARS;-0,113569
Government Bonds;9.8.2016;12 MONTHS;-0,640569
Government Bonds;9.8.2016;2 YEARS;-0,655683
Government Bonds;9.8.2016;5 YEARS;-0,5434
Government Bonds;9.8.2016;7 YEARS;-0,370706
Government Bonds;9.8.2016;12 YEARS;0,025784
Government Bonds;9.8.2016;15 YEARS;0,184806
Government Bonds;9.8.2016;3 MONTHS;-0,649975
Government Bonds;9.8.2016;6 MONTHS;-0,641324
Government Bonds;9.8.2016;9 MONTHS;-0,638984
Government Bonds;9.8.2016;20 YEARS;0,356266
Government Bonds;9.8.2016;25 YEARS;0,461528
Government Bonds;9.8.2016;30 YEARS;0,531926
Euribor rates;10.8.2016;1 WEEK;-0,379
Euribor rates;10.8.2016;2 WEEKS;-0,374
Euribor rates;10.8.2016;1 MONTH;-0,369
Euribor rates;10.8.2016;2 MONTHS;-0,333
Euribor rates;10.8.2016;3 MONTHS;-0,297
Euribor rates;10.8.2016;6 MONTHS;-0,188
Euribor rates;10.8.2016;9 MONTHS;-0,118
Euribor rates;10.8.2016;12 MONTHS;-0,048
Government Bonds;10.8.2016;10 YEARS;-0,1461
Government Bonds;10.8.2016;12 MONTHS;-0,643647
Government Bonds;10.8.2016;2 YEARS;-0,664439
Government Bonds;10.8.2016;5 YEARS;-0,564886
Government Bonds;10.8.2016;7 YEARS;-0,398125
Government Bonds;10.8.2016;12 YEARS;-0,008481
Government Bonds;10.8.2016;15 YEARS;0,149183
Government Bonds;10.8.2016;3 MONTHS;-0,646841
Government Bonds;10.8.2016;6 MONTHS;-0,640583
Government Bonds;10.8.2016;9 MONTHS;-0,640282
Government Bonds;10.8.2016;20 YEARS;0,319683
Government Bonds;10.8.2016;25 YEARS;0,424485
Government Bonds;10.8.2016;30 YEARS;0,494593
Euribor rates;11.8.2016;1 WEEK;-0,38
Euribor rates;11.8.2016;2 WEEKS;-0,375
Euribor rates;11.8.2016;1 MONTH;-0,369
Euribor rates;11.8.2016;2 MONTHS;-0,334
Euribor rates;11.8.2016;3 MONTHS;-0,299
Euribor rates;11.8.2016;6 MONTHS;-0,189
Euribor rates;11.8.2016;9 MONTHS;-0,119
Euribor rates;11.8.2016;12 MONTHS;-0,049
Government Bonds;11.8.2016;10 YEARS;-0,146771
Government Bonds;11.8.2016;12 MONTHS;-0,636495
Government Bonds;11.8.2016;2 YEARS;-0,664199
Government Bonds;11.8.2016;5 YEARS;-0,567679
Government Bonds;11.8.2016;7 YEARS;-0,399793
Government Bonds;11.8.2016;12 YEARS;-0,008997
Government Bonds;11.8.2016;15 YEARS;0,148566
Government Bonds;11.8.2016;3 MONTHS;-0,629581
Government Bonds;11.8.2016;6 MONTHS;-0,627313
Government Bonds;11.8.2016;9 MONTHS;-0,630353
Government Bonds;11.8.2016;20 YEARS;0,318719
Government Bonds;11.8.2016;25 YEARS;0,423246
Government Bonds;11.8.2016;30 YEARS;0,493161
Euribor rates;12.8.2016;1 WEEK;-0,38
Euribor rates;12.8.2016;2 WEEKS;-0,376
Euribor rates;12.8.2016;1 MONTH;-0,368
Euribor rates;12.8.2016;2 MONTHS;-0,335
Euribor rates;12.8.2016;3 MONTHS;-0,299
Euribor rates;12.8.2016;6 MONTHS;-0,188
Euribor rates;12.8.2016;9 MONTHS;-0,119
Euribor rates;12.8.2016;12 MONTHS;-0,049
Government Bonds;12.8.2016;10 YEARS;-0,149384
Government Bonds;12.8.2016;12 MONTHS;-0,644039
Government Bonds;12.8.2016;2 YEARS;-0,661908
Government Bonds;12.8.2016;5 YEARS;-0,564419
Government Bonds;12.8.2016;7 YEARS;-0,400402
Government Bonds;12.8.2016;12 YEARS;-0,010991
Government Bonds;12.8.2016;15 YEARS;0,148526
Government Bonds;12.8.2016;3 MONTHS;-0,650721
Government Bonds;12.8.2016;6 MONTHS;-0,643259
Government Bonds;12.8.2016;9 MONTHS;-0,641773
Government Bonds;12.8.2016;20 YEARS;0,3219
Government Bonds;12.8.2016;25 YEARS;0,428711
Government Bonds;12.8.2016;30 YEARS;0,500197
Euribor rates;15.8.2016;1 WEEK;-0,379
Euribor rates;15.8.2016;2 WEEKS;-0,377
Euribor rates;15.8.2016;1 MONTH;-0,369
Euribor rates;15.8.2016;2 MONTHS;-0,336
Euribor rates;15.8.2016;3 MONTHS;-0,298
Euribor rates;15.8.2016;6 MONTHS;-0,189
Euribor rates;15.8.2016;9 MONTHS;-0,119
Euribor rates;15.8.2016;12 MONTHS;-0,05
Government Bonds;15.8.2016;10 YEARS;-0,113898
Government Bonds;15.8.2016;12 MONTHS;-0,633385
Government Bonds;15.8.2016;2 YEARS;-0,64395
Government Bonds;15.8.2016;5 YEARS;-0,533985
Government Bonds;15.8.2016;7 YEARS;-0,367025
Government Bonds;15.8.2016;12 YEARS;0,025477
Government Bonds;15.8.2016;15 YEARS;0,186223
Government Bonds;15.8.2016;3 MONTHS;-0,645387
Government Bonds;15.8.2016;6 MONTHS;-0,636296
Government Bonds;15.8.2016;9 MONTHS;-0,633007
Government Bonds;15.8.2016;20 YEARS;0,361111
Government Bonds;15.8.2016;25 YEARS;0,468923
Government Bonds;15.8.2016;30 YEARS;0,541091
Euribor rates;16.8.2016;1 WEEK;-0,379
Euribor rates;16.8.2016;2 WEEKS;-0,377
Euribor rates;16.8.2016;1 MONTH;-0,369
Euribor rates;16.8.2016;2 MONTHS;-0,337
Euribor rates;16.8.2016;3 MONTHS;-0,299
Euribor rates;16.8.2016;6 MONTHS;-0,189
Euribor rates;16.8.2016;9 MONTHS;-0,12
Euribor rates;16.8.2016;12 MONTHS;-0,05
Government Bonds;16.8.2016;10 YEARS;-0,096889
Government Bonds;16.8.2016;12 MONTHS;-0,631902
Government Bonds;16.8.2016;2 YEARS;-0,641734
